from,to
E-GEOD-5305_g2_g4_Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
E-GEOD-5305_g2_g4_Recognition of DNA damage by PCNA-containing replication complex,Recognition of DNA damage by PCNA-containing replication complex
E-GEOD-5305_g2_g4_Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Resolution of AP sites via the multiple-nucleotide patch replacement pathway
E-GEOD-5305_g2_g4_The citric acid (TCA) cycle and respiratory electron transport,The citric acid (TCA) cycle and respiratory electron transport
E-GEOD-5305_g2_g4_Glutathione conjugation,Glutathione conjugation
E-GEOD-5305_g2_g4_Telomere Maintenance,Telomere Maintenance
E-GEOD-5305_g2_g4_Metabolism of nucleotides,Metabolism of nucleotides
"E-GEOD-5305_g2_g4_Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
E-GEOD-5305_g2_g4_mTOR signalling,mTOR signalling
E-GEOD-5305_g2_g4_Autodegradation of Cdh1 by Cdh1:APC/C,Autodegradation of Cdh1 by Cdh1:APC/C
E-GEOD-5305_g2_g4_APC/C-mediated degradation of cell cycle proteins,APC/C-mediated degradation of cell cycle proteins
E-GEOD-5305_g2_g4_APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
E-GEOD-5305_g2_g4_Glutathione synthesis and recycling,Glutathione synthesis and recycling
E-GEOD-5305_g2_g4_Telomere C-strand (Lagging Strand) Synthesis,Telomere C-strand (Lagging Strand) Synthesis
E-GEOD-5305_g2_g4_Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
E-GEOD-5305_g2_g4_Extension of Telomeres,Extension of Telomeres
E-GEOD-5305_g2_g4_Keratan sulfate degradation,Keratan sulfate degradation
E-GEOD-5305_g2_g4_Cell surface interactions at the vascular wall,Cell surface interactions at the vascular wall
E-GEOD-5305_g2_g4_Biological oxidations,Biological oxidations
E-GEOD-5305_g2_g4_Regulation of mRNA stability by proteins that bind AU-rich elements,Regulation of mRNA stability by proteins that bind AU-rich elements
E-GEOD-5305_g2_g4_Regulation of mitotic cell cycle,Regulation of mitotic cell cycle
E-GEOD-5305_g2_g4_Positive epigenetic regulation of rRNA expression,Positive epigenetic regulation of rRNA expression
E-GEOD-5305_g2_g4_B-WICH complex positively regulates rRNA expression,B-WICH complex positively regulates rRNA expression
E-GEOD-5305_g2_g4_Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)
E-GEOD-5305_g2_g4_Mitochondrial translation,Mitochondrial translation
E-GEOD-5305_g2_g4_Mitochondrial translation elongation,Mitochondrial translation elongation
E-GEOD-5305_g2_g4_Mitochondrial translation termination,Mitochondrial translation termination
E-GEOD-5305_g2_g4_PCNA-Dependent Long Patch Base Excision Repair,PCNA-Dependent Long Patch Base Excision Repair
E-GEOD-5305_g2_g4_Gap-filling DNA repair synthesis and ligation in GG-NER,Gap-filling DNA repair synthesis and ligation in GG-NER
E-GEOD-5305_g2_g4_Nucleotide Excision Repair,Nucleotide Excision Repair
E-GEOD-5305_g2_g4_Global Genome Nucleotide Excision Repair (GG-NER),Global Genome Nucleotide Excision Repair (GG-NER)
E-GEOD-5305_g2_g4_Dual Incision in GG-NER,Dual Incision in GG-NER
E-GEOD-5305_g2_g4_Respiratory electron transport,Respiratory electron transport
E-GEOD-5305_g2_g4_Transcription-Coupled Nucleotide Excision Repair (TC-NER),Transcription-Coupled Nucleotide Excision Repair (TC-NER)
E-GEOD-5305_g2_g4_Dual incision in TC-NER,Dual incision in TC-NER
E-GEOD-5305_g2_g4_Gap-filling DNA repair synthesis and ligation in TC-NER,Gap-filling DNA repair synthesis and ligation in TC-NER
E-GEOD-5305_g2_g4_Complex I biogenesis,Complex I biogenesis
E-GEOD-5305_g2_g4_Lagging Strand Synthesis,Lagging Strand Synthesis
E-GEOD-5305_g2_g4_DNA strand elongation,DNA strand elongation
E-GEOD-5305_g2_g4_Synthesis of DNA,Synthesis of DNA
E-GEOD-5305_g2_g4_S Phase,S Phase
E-GEOD-5305_g2_g4_DNA Replication,DNA Replication
E-GEOD-5305_g2_g4_Translation,Translation
E-GEOD-5305_g2_g4_RNA Polymerase I Transcription Initiation,RNA Polymerase I Transcription Initiation
E-GEOD-5305_g2_g4_RNA Polymerase I Promoter Escape,RNA Polymerase I Promoter Escape
E-GEOD-5305_g2_g4_RNA Polymerase I Transcription Termination,RNA Polymerase I Transcription Termination
E-GEOD-5305_g2_g4_Base Excision Repair,Base Excision Repair
E-GEOD-5305_g2_g4_DNA Damage Bypass,DNA Damage Bypass
E-GEOD-5305_g2_g4_DNA Repair,DNA Repair
E-GEOD-5305_g2_g4_Resolution of Abasic Sites (AP sites),Resolution of Abasic Sites (AP sites)
E-GEOD-5305_g1_g3_Amplification of signal from the kinetochores,Amplification of signal from the kinetochores
E-GEOD-5305_g1_g3_Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
E-GEOD-5305_g1_g3_Collagen degradation,Collagen degradation
E-GEOD-5305_g1_g3_Collagen formation,Collagen formation
E-GEOD-5305_g1_g3_Collagen biosynthesis and modifying enzymes,Collagen biosynthesis and modifying enzymes
E-GEOD-5305_g1_g3_Cholesterol biosynthesis,Cholesterol biosynthesis
E-GEOD-5305_g1_g3_Assembly of collagen fibrils and other multimeric structures,Assembly of collagen fibrils and other multimeric structures
E-GEOD-5305_g1_g3_Separation of Sister Chromatids,Separation of Sister Chromatids
E-GEOD-5305_g1_g3_Resolution of Sister Chromatid Cohesion,Resolution of Sister Chromatid Cohesion
E-GEOD-5305_g1_g3_Mitotic Metaphase and Anaphase,Mitotic Metaphase and Anaphase
E-GEOD-5305_g1_g3_Striated Muscle Contraction,Striated Muscle Contraction
E-GEOD-5305_g1_g3_Mitotic G1 phase and G1/S transition,Mitotic G1 phase and G1/S transition
E-GEOD-5305_g1_g3_RHO GTPases Activate Formins,RHO GTPases Activate Formins
E-GEOD-5305_g1_g3_Mitotic Prometaphase,Mitotic Prometaphase
E-GEOD-5305_g1_g3_Mitotic Anaphase,Mitotic Anaphase
E-GEOD-5305_g1_g3_Activation of the pre-replicative complex,Activation of the pre-replicative complex
E-GEOD-5305_g1_g3_G1/S Transition,G1/S Transition
E-GEOD-5305_g1_g3_DNA Replication,DNA Replication
E-GEOD-5305_g1_g3_Mitotic Spindle Checkpoint,Mitotic Spindle Checkpoint
E-GEOD-5305_g1_g3_Chromosome Maintenance,Chromosome Maintenance
E-GEOD-5305_g1_g3_Collagen chain trimerization,Collagen chain trimerization
E-GEOD-5305_g1_g3_Metabolism of steroids,Metabolism of steroids
E-GEOD-5305_g1_g3_EML4 and NUDC in mitotic spindle formation,EML4 and NUDC in mitotic spindle formation
