identifier,name
Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,R-MMU-110313
Recognition of DNA damage by PCNA-containing replication complex,R-MMU-110314
Resolution of AP sites via the multiple-nucleotide patch replacement pathway,R-MMU-110373
The citric acid (TCA) cycle and respiratory electron transport,R-MMU-1428517
Glutathione conjugation,R-MMU-156590
Telomere Maintenance,R-MMU-157579
Metabolism of nucleotides,R-MMU-15869
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",R-MMU-163200
mTOR signalling,R-MMU-165159
Autodegradation of Cdh1 by Cdh1:APC/C,R-MMU-174084
APC/C-mediated degradation of cell cycle proteins,R-MMU-174143
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-MMU-174178
Glutathione synthesis and recycling,R-MMU-174403
Telomere C-strand (Lagging Strand) Synthesis,R-MMU-174417
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,R-MMU-176814
Extension of Telomeres,R-MMU-180786
Keratan sulfate degradation,R-MMU-2022857
Cell surface interactions at the vascular wall,R-MMU-202733
Biological oxidations,R-MMU-211859
Regulation of mRNA stability by proteins that bind AU-rich elements,R-MMU-450531
Regulation of mitotic cell cycle,R-MMU-453276
Positive epigenetic regulation of rRNA expression,R-MMU-5250913
B-WICH complex positively regulates rRNA expression,R-MMU-5250924
Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),R-MMU-5358606
Mitochondrial translation,R-MMU-5368287
Mitochondrial translation elongation,R-MMU-5389840
Mitochondrial translation termination,R-MMU-5419276
PCNA-Dependent Long Patch Base Excision Repair,R-MMU-5651801
Gap-filling DNA repair synthesis and ligation in GG-NER,R-MMU-5696397
Nucleotide Excision Repair,R-MMU-5696398
Global Genome Nucleotide Excision Repair (GG-NER),R-MMU-5696399
Dual Incision in GG-NER,R-MMU-5696400
Respiratory electron transport,R-MMU-611105
Transcription-Coupled Nucleotide Excision Repair (TC-NER),R-MMU-6781827
Dual incision in TC-NER,R-MMU-6782135
Gap-filling DNA repair synthesis and ligation in TC-NER,R-MMU-6782210
Complex I biogenesis,R-MMU-6799198
Lagging Strand Synthesis,R-MMU-69186
DNA strand elongation,R-MMU-69190
Synthesis of DNA,R-MMU-69239
S Phase,R-MMU-69242
DNA Replication,R-MMU-69306
Translation,R-MMU-72766
RNA Polymerase I Transcription Initiation,R-MMU-73762
RNA Polymerase I Promoter Escape,R-MMU-73772
RNA Polymerase I Transcription Termination,R-MMU-73863
Base Excision Repair,R-MMU-73884
DNA Damage Bypass,R-MMU-73893
DNA Repair,R-MMU-73894
Resolution of Abasic Sites (AP sites),R-MMU-73933
Amplification of signal from the kinetochores,R-MMU-141424
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,R-MMU-141444
Collagen degradation,R-MMU-1442490
Collagen formation,R-MMU-1474290
Collagen biosynthesis and modifying enzymes,R-MMU-1650814
Cholesterol biosynthesis,R-MMU-191273
Assembly of collagen fibrils and other multimeric structures,R-MMU-2022090
Separation of Sister Chromatids,R-MMU-2467813
Resolution of Sister Chromatid Cohesion,R-MMU-2500257
Mitotic Metaphase and Anaphase,R-MMU-2555396
Striated Muscle Contraction,R-MMU-390522
Mitotic G1 phase and G1/S transition,R-MMU-453279
RHO GTPases Activate Formins,R-MMU-5663220
Mitotic Prometaphase,R-MMU-68877
Mitotic Anaphase,R-MMU-68882
Activation of the pre-replicative complex,R-MMU-68962
G1/S Transition,R-MMU-69206
Mitotic Spindle Checkpoint,R-MMU-69618
Chromosome Maintenance,R-MMU-73886
Collagen chain trimerization,R-MMU-8948216
Metabolism of steroids,R-MMU-8957322
EML4 and NUDC in mitotic spindle formation,R-MMU-9648025
